Name ,Sex,Age,2022,2023,2024,2025,2026
NC - Namakwa District Municipality (DC6),Female,60-64,2879.252931,2924.619286,2975.728212,3038.071488,3102.820674
NC - Namakwa District Municipality (DC6),Female,65-69,2485.686782,2511.886484,2525.185555,2546.357237,2578.952679
NC - Namakwa District Municipality (DC6),Female,70-74,1806.734302,1896.624515,1986.251207,2054.854703,2100.571143
NC - Namakwa District Municipality (DC6),Female,75-79,1175.998007,1184.888282,1213.396516,1269.791121,1353.825072
NC - Namakwa District Municipality (DC6),Female,80+,478.629055,527.321701,580.013292,635.894216,695.178067
NC - Pixley ka Seme District Municipality (DC7),Male,0-4,11145.025897,11106.797671,11046.052394,10982.892998,10943.605243
NC - Pixley ka Seme District Municipality (DC7),Male,5-9,10612.925013,10669.796397,10773.683908,10921.009545,11095.556178
NC - Pixley ka Seme District Municipality (DC7),Male,10-14,10306.364537,10296.094801,10272.785897,10227.653071,10191.929173
NC - Pixley ka Seme District Municipality (DC7),Male,15-19,9136.394615,9330.870322,9469.987461,9619.151273,9752.071627
NC - Pixley ka Seme District Municipality (DC7),Male,20-24,7485.986630,7579.085017,7696.608432,7811.775954,7931.789128
NC - Pixley ka Seme District Municipality (DC7),Male,25-29,7803.845227,7670.640255,7587.395368,7506.085976,7412.221498
NC - Pixley ka Seme District Municipality (DC7),Male,30-34,8822.545275,8649.798289,8460.197687,8299.420520,8168.514606
NC - Pixley ka Seme District Municipality (DC7),Male,35-39,8523.108539,8704.691721,8835.673443,8892.823916,8806.963760
NC - Pixley ka Seme District Municipality (DC7),Male,40-44,6560.678648,6931.875198,7330.600206,7695.528173,8041.851497
NC - Pixley ka Seme District Municipality (DC7),Male,45-49,5505.348775,5537.739299,5596.305537,5720.240737,5957.548253
NC - Pixley ka Seme District Municipality (DC7),Male,50-54,4884.547893,4979.911275,5050.396515,5121.591548,5162.883179
NC - Pixley ka Seme District Municipality (DC7),Male,55-59,3971.827991,4063.648681,4164.711318,4264.199092,4376.049304
NC - Pixley ka Seme District Municipality (DC7),Male,60-64,3089.521889,3164.208973,3251.954967,3347.709059,3442.377374
NC - Pixley ka Seme District Municipality (DC7),Male,65-69,2609.559565,2589.200030,2569.774092,2572.004476,2599.139326
