sal_code,pop
"2700147",150
"2700602",477
"2700336",262
"2700639",521
"2700691",619
"2700526",414
"2700034",62
"2700033",60
"2700693",625
"2700710",660
"2700730",720
"2700385",296
"2700433",326
"2700297",240
"2700306",248
"2700046",74
"2700545",423
"2700700",642
"2700697",634
"2700667",579
"2700569",451
"2700720",687
"2700592",467
"2700722",690
"2700299",241
"2700266",217
"2700562",440
"2700148",150
"2700375",288
"2700085",113
"2700054",82
"2700200",186
"2700066",94
"2700209",190
"2700073",100
"2700548",423
"2700366",281
"2700115",133
"2700321",254
"2700430",324
"2700572",451
"2700427",323
"2700234",203
"2700665",575
"2700687",615
"2700220",197
"2700745",794
"2700412",315
"2700599",474
"2700601",476
"2700409",314
"2700570",451
"2700478",369
"2700294",239
"2700195",184
"2700493",379
"2700134",144
"2700482",372
"2700530",414
"2700218",195
"2700252",211
"2700394",302
"2700348",269
"2700522",408
"2700014",26
"2700116",133
"2700338",263
"2700392",301
"2700423",322
"2700508",393
"2700448",344
"2700723",691
"2700074",102
"2700279",226
"2700428",323
"2700476",368
"2700621",496
"2700410",314
"2700231",200
"2700284",232
"2700355",273
"2700038",66
"2700331",259
"2700628",503
"2700699",641
"2700613",488
"2700368",283
"2700440",331
"2700333",260
"2700377",289
"2700467",357
"2700491",378
"2700525",413
"2700576",453
"2700744",791
"2700163",164
"2700221",197
"2700318",253
"2700421",321
"2700353",271
"2700006",13
"2700637",520
"2700458",351
"2700647",537
"2700690",617
"2700313",250
"2700170",170
"2700607",481
"2700367",282
"2700513",397
"2700669",580
"2700515",403
"2700239",206
"2700124",138
"2700731",729
"2700111",129
"2700071",99
"2700670",581
"2700582",460
"2700733",738
"2700475",368
"2700477",369
"2700662",561
"2700504",390
"2700490",376
"2700381",291
"2700372",285
"2700651",542
"2700555",433
"2700395",304
"2700595",469
"2700465",356
"2700507",392
"2700123",138
"2700618",494
"2700225",199
"2700498",385
"2700503",390
"2700304",246
"2700575",453
"2700062",90
"2700329",259
"2700434",326
"2700420",321
"2700335",262
"2700278",226
"2700332",260
